OBJECTID *,A.T. Region Acronym,Trail Club Acronym,Campsite Name,Status,In FMSS?,FMSS Name,FMSS Location ID *,GIS ID,Type of Campsite,Number of Sites,Number of 8x8 Tentsites,Number of Constructed Tent Pads,Predominant Tent Pad Perimeter Material,Number of Constructed Tent Platforms,Predominant Tent Platform Deck Material,Number of Metal Fire Rings,Number of Mortared Fire Rings,Number of Food Boxes,Number of Food Cables,Number of Food Poles,Number of Metal Storage Boxes,Number of Plastic Storage Boxes,Number of Wooden Storage Boxes,Number of Bulletin Boards/Kiosks,Number of Directional/Wayfinding Signs,Number of Educational/Interpretative Signs,Number of Identification/Entrance Signs,Number of Regulatory/Safety Signs,Number of Bollards,Number of Boulders,Number of Cattle Guards,Number of Gates,Number of Stiles,Number of Fences,Total Fence Length Feet,Predominant Fence Material,Photos Taken?,Year Built,Comments,FMSS Quantity,Description,FBMS ID,Optimizer Band,Asset Priority Index,Historic Status,State,County,A.T. Region,Congressional District,Trail_Club,Northern Maintainer Boundary,Southern Maintainer Boundary,A.T. Maintainer Section,Wilderness Area,Ownership,Latitude,Longitude,Maximum PDOP,Maximum HDOP,Correction Type,Receiver Type,GPS Date,GPS Time,Update Status,Feature Name,Datafile,Unfiltered Positions,Filtered Positions,Data Dictionary,GPS Week,GNSS Height,Vertical Precision,Horizontal Precision,Standard Deviation,Point X,Point Y,GFID,Source,Version,Publish?,Creator,Creation Date,Editor,Edit Date,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Photo9,Photo10,GlobalID *,Shape *
11,NERO,AMC,Carlo Col Shelter Campsite,Official A.T. Campsite,Yes,AMC Carlo Col Shelter Campsite,244703,CS618,Designated Campsite,5,0,0,None,5,Dimensional Lumber,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1976,,0.011478,AMC Carlo Col Shelter Campsite,IB14001000208620001520,1,100,N,Maine,OXFORD,New England,Congressional District 2,Appalachian Mountain Club,Goose Eye Tr,Carlo Col Tr,Goose Eye Tr to Carlo Col Tr,N,STATE FEE - STATE OF MAINE,44.48906928,-71.01660497,2,1.4,Uncorrected,Geo 7x,8/11/2016,10:01:30 AM,New,Campsite,File Not Specified,71,71,AT 2015 Inventory,1909,877.157,16.2,11.4,4.417152,-71.016605,44.489069,{274e83cd-987a-490b-a8c9-748387d2ea4e},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1aZzL-IfifpjXVaLcixzuLWkHF8p3TSdh/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1iFjNtsTdj2vVRbMSQRHx1NM1bpmVTj3C/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1zExhskCpH9-2hojn6RgcIFS9d9v5M2vs/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1zECUwe-mv4SFZ087NMss0yZUd7FO2Nsl/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/10sPmQOxnSvh3Fn_HOk6dBlwCRBBCXgLz/view?usp=drivesdk,,,,,,{034bcdef-b4a2-4a9f-82d8-2ce8c3fc1158},Point
12,NERO,AMC,Garfield Ridge Shelter Campsite,Official A.T. Campsite,Yes,AMC Garfield Ridge Shelter Campsite,244712,NA,Designated Campsite,8,0,0,None,8,Dimensional Lumber,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,None,Yes,2011,"Two Food Boxes Shared with Shelter; I took one general point for the tenting area, unaware there were points taken for each platform.",0.018365,AMC Garfield Ridge Shelter Campsite,IB14001000208620001527,1,100,N,New Hampshire,GRAFTON,New England,Congressional District 2,Appalachian Mountain Club,Galehead Hut,Mt. Lafayette Summit,Galehead Hut to Mt. Lafayette Summit,N,FEDERAL FEE - USFS WHITE MTN NF,44.19088154,-71.60884134,1.3,0.7,Uncorrected,Geo 7x,9/28/2015,5:40:54 PM,New,Campsite,File Not Specified,31,31,AT 2015 Inventory,1864,1202.303,16.5,10.6,0.837348,-71.608841,44.190882,{4a9c1482-ad49-4650-829c-19c3b73fb852},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1SYCA1zSE5UtcFshuw0XoGvyrH6-NRPey/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1-uhh8PCnxGOtyuIvUWwuP-CjY7W2bQRK/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/15tpEwdDZc3r5f3zNTwG35yBgg-w0tE5B/view?usp=drivesdk,,,,,,,,{a75e6110-2f4f-4fff-a7c2-8e1ad5b3e802},Point
13,NERO,GMC,Stratton Pond Caretaker Campsite,Official A.T. Campsite,Yes,GMC Stratton Pond Caretaker Campsite,250536,NA,Designated Campsite,1,0,0,None,1,Dimensional Lumber,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,None,Yes,1999,,0.002296,GMC Stratton Pond Caretaker Campsite,IB14001000208620001486,1,100,N,Vermont,WINDHAM,New England,Congressional District (at Large),Green Mountain Club,Mad tom Notch,Arlington-West Wardsboro Rd.,Mad tom Notch to Arlington-West Wardsboro Rd.,N,FEDERAL FEE - USFS GREEN MTN NF,43.10309838,-72.96470434,1.6,0.9,Uncorrected,Geo 7x,9/15/2015,3:30:54 PM,New,Campsite,File Not Specified,31,31,AT 2015 Inventory,1862,756.868,21.6,14.7,5.512438,-72.964704,43.103098,{e0264a13-4166-445e-befa-5716e5a54e88},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/14P3Dgdhttg67XyKUzgR99kaSKdK9Sqw9/view?usp=drivesdk,,,,,,,,,,{d8166dfa-e75f-42f5-beb3-ff7a86ffbf90},Point
14,NERO,AMC-WMA,Shaker Campsite,Official A.T. Campsite,Yes,AMC-WMA Shaker Campsite,250501,CS567,Designated Campsite,4,2,0,None,2,Dimensional Lumber,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,None,Yes,2000,,0.00753,AMC-WMA Shaker Campsite,IB14001000208620001456,1,100,N,Massachusetts,BERKSHIRE,New England,Congressional District 1,Appalachian Mountain Club - Western Massachusetts Chapter,Tyringham Main Rd,Fernside Rd,Tyringham Main Rd to Fernside Rd,N,FEDERAL FEE - NPS APPA,42.25191837,-73.22465427,4.2,2.7,Uncorrected,Geo 7x,10/15/2015,2:32:54 PM,New,Campsite,File Not Specified,32,32,AT 2015 Inventory,1866,248.96,24.5,21.8,3.410315,-73.224654,42.251918,{101c778f-4bc3-4e4f-8095-d6c279c3aca4},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/18bKcaitdoTFScP8HQFdnn43sMlq3U7r1/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1ixzxJuN4YkN6IVMAmA2oUwHG4EE86V98/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1xQJGZxZv3fKQiYwaKT_3qMSMHxtoqiB0/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1HwGyULicRklCrRoGmVJqBh6_Lb0GuX8g/view?usp=drivesdk,,,,,,,{8eb115d2-df7c-4ef6-8f1c-9d36e4f836f9},Point
15,NERO,MATC,Antlers Campsite,Official A.T. Campsite,Yes,MATC Antlers Campsite,244692,NA,Designated Campsite,5,0,5,Stone,0,None,0,0,0,0,0,0,0,0,0,1,2,0,5,0,0,0,0,0,0,0,None,No Info,1960,,0.007346,MATC Antlers Campsite,IB14001000208620001510,1,100,N,Maine,PISCATAQUIS,New England,Congressional District 2,Maine Appalachian Trail Club,Nahmakanta Stream Campsite,JoMary Road,Nahmakanta Stream Campsite to JoMary Road,N,FEDERAL FEE - NPS APPA,45.6786615,-69.00432586,1.9,1.2,Uncorrected,GeoXT 6000,8/29/2016,9:06:25 AM,New,Campsite,File Not Specified,30,30,AT 2015 Inventory,1912,127.135,29.1,17.3,3.194358,-69.004326,45.678661,{3777bb2d-4538-481e-89cc-c88ecec8b350},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/1MEcYcMC1FPSWCcROxaW8d-RNh7hB3RO5/view?usp=drivesdk,,,,,,,,,,{33ceac2d-bd48-4ac4-8e1c-bae2b581983c},Point
16,NERO,AMC-WMA,Glen Brook Shelter Group Campsite,Official A.T. Campsite,Yes,AMC-WMA Glen Brook Shelter Group Campsite,250490,CS208,Designated Groupsite,2,8,0,None,2,Dimensional Lumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1987,,0.014692,AMC-WMA Glen Brook Shelter Group Campsite,IB14001000208620001444,1,100,N,Massachusetts,BERKSHIRE,New England,Congressional District 1,Appalachian Mountain Club - Western Massachusetts Chapter,Elbow Trail,Mt. Everett Summit,Elbow Trail to Mt. Everett Summit,N,STATE FEE - STATE OF MASSACHUSETTS - DEM - MT EVERETT STATE RESERVATION,42.11139592,-73.42874409,1.7,0.9,Uncorrected,Geo 7x,10/19/2015,11:50:47 AM,New,Campsite,File Not Specified,31,31,AT 2015 Inventory,1867,552.084,22.4,17.7,5.751512,-73.428744,42.111396,{ca52d699-59e1-497c-9b5e-a6218bac3b76},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/15MxADrYrbMI3M9YahaS69ZSysFIJinDv/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1N-c8eVN7utOCGtX8y_21iophdSK6yvXN/view?usp=drivesdk,,,,,,,,,{8e707ca0-a042-4508-a805-5624a665cbbf},Point
17,NERO,AMC-CT,Limestone Springs Shelter Campsite,Official A.T. Campsite,Yes,AMC-CT Limestone Springs Shelter Campsite,250512,CS571,Designated Campsite,3,0,0,None,3,Dimensional Lumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,Yes,1986,,0.006887,AMC-CT Limestone Springs Shelter Campsite,IB14001000208620001462,1,100,N,Connecticut,LITCHFIELD,New England,Congressional District 5,Appalachian Mountain Club - Connecticut Chapter,Rand's View,Iron Bridge,Rand's View to Iron Bridge,N,FEDERAL FEE - NPS APPA,41.97510028,-73.39188207,1.8,1.1,Uncorrected,Geo 7x,10/21/2015,12:43:10 PM,New,Campsite,File Not Specified,32,32,AT 2015 Inventory,1867,274.193,32,21.5,5.689359,-73.391882,41.9751,{7e3becc9-7a16-451b-b912-d3d1880b5dfc},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1aQ2Kw3iu6UOylrE6RLb7u_n5hguBXjtH/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1c-9JTKXHj78GRv2b2ygZ83X3T_anUo0t/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/15IabnbWZ-eT2PZl_nmwZK9o3ivAec-q3/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1DR5KFCRsdWeu6PFbEzbaVX3lrcA9SYl5/view?usp=drivesdk,,,,,,,{45eea225-5487-4a47-8bd4-1221c86daef9},Point
18,NERO,AMC-WMA,Sherman Brook Campsite,Official A.T. Campsite,Yes,AMC-WMA Sherman Brook Campsite,250502,CS275,Designated Campsite,6,4,0,None,2,Dimensional Lumber,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,None,Yes,1990,"2 Tent Platforms, was 3 but one destroyed by fire leaving only 2 now",0.010468,AMC-WMA Sherman Brook Campsite,IB14001000208620001455,1,100,N,Massachusetts,BERKSHIRE,New England,Congressional District 1,Appalachian Mountain Club - Western Massachusetts Chapter,S. end of bad weather trail,Mass Ave,S. end of bad weather trail to Mass Ave,N,STATE FEE - STATE OF MASSACHUSETTS - DEM - CLARKSBURG SF,42.71820877,-73.15131698,2.1,1.2,Uncorrected,Geo 7x,9/21/2015,11:45:15 AM,New,Campsite,File Not Specified,38,38,AT 2015 Inventory,1863,393.961,23,17,3.072881,-73.151317,42.718209,{bb7d7b04-54b7-4b47-a719-2638dcf680e6},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,2/7/2023 6:24:13 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1uYmMmYBZa568Xu7czjDf3n94dvBwdPOI/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1LZD8NMZ2zZdaS3pWoAO1_ozP7jXphV5u/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1fdEGQbqCaBiQzHtPePxLELLO0--PjrPR/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/14EjdvteU26BGeI-qKoWaQDiAJBJk43mc/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/169JMwDil8Byz1iRgctIboOn7yYuYx2gp/view?usp=drivesdk,,,,,,{19ca5c11-a806-4229-98a8-2e0ba025439b},Point
19,NERO,MATC,Avery Memorial Campsite,Official A.T. Campsite,Yes,MATC Avery Memorial Campsite,244695,NA,Designated Campsite,5,0,0,None,5,Dimensional Lumber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,No Info,1953,,0.011478,MATC Avery Memorial Campsite,IB14001000208620001512,1,100,N,Maine,SOMERSET,New England,Congressional District 2,Maine Appalachian Trail Club,Safford Notch Side Trail,Bigelow Colto,Safford Notch Side Trail to Bigelow Colto,N,STATE FEE - STATE OF MAINE - BIGELOW PRESERVE,45.14665113,-70.28245186,2.8,1.4,Postprocessed Code,GeoXT 6000,6/26/2017,4:34:33 PM,New,Campsite,File Not Specified,30,30,AT 2015 Inventory,1955,1117.365,1.8,1.4,0.306497,-70.282452,45.146651,{2df1da7d-56d9-4bb4-a23f-6b5895076651},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/file/d/16dt77GVz0t10eCGzPV32IotDkEuRyJqI/view?usp=drivesdk,https://drive.google.com/file/d/1qddWDmO3W_fVxMv1xrV8rMiKvNCU7pPc/view?usp=drivesdk,https://drive.google.com/file/d/1y2eMt9H6x-8Mc0YVhvPf24XB8byi9JWO/view?usp=drivesdk,https://drive.google.com/file/d/1Hb2xS69fKcwjkFLEkJDTbwIKnRomiSjq/view?usp=drivesdk,https://drive.google.com/file/d/150NNU_F16DZYaj_rI9Hjq2YVYY7_tfX3/view?usp=drivesdk,https://drive.google.com/file/d/1UxYyOl4gIQo8_7r8-FglwPte5QAucUlA/view?usp=drivesdk,https://drive.google.com/file/d/1ywRZuTFOgPzX1xcGq9CIBz9SIKdi4hxA/view?usp=drivesdk,https://drive.google.com/file/d/1dIqrkS37eBsRsRkF0MPy_mMScYV6Mffj/view?usp=drivesdk,https://drive.google.com/file/d/1-gIimjR-fBwc5XURzNUlrniHyyUF1Ad7/view?usp=drivesdk,,{83bd9801-100e-4725-b95e-7e3e8e4ef370},Point
20,NERO,DOC,Hexacuba Shelter Campsite,Official A.T. Campsite,Yes,DOC Hexacuba Shelter Campsite,250525,NA,Designated Campsite,2,1,1,Stone,0,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,None,Yes,1989,,0.002938,DOC Hexacuba Shelter Campsite,IB14001000208620001476,1,100,N,New Hampshire,GRAFTON,New England,Congressional District 2,Dartmouth Outing Club,Cube Mtn. Sum,S. Jacobs Brk. Rd,Cube Mtn. Sum to S. Jacobs Brk. Rd,N,FEDERAL FEE - USFS WHITE MTN NF,43.87605631,-72.02679154,2.1,1.1,Uncorrected,Geo 7x,9/2/2015,4:01:31 PM,New,Campsit2,File Not Specified,31,31,AT 2015 Inventory,1860,658.788,41,24.2,2.24898,-72.026792,43.876056,{983c7608-36f0-497e-8bb3-e82003b37bf1},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1k7Zx5ef3B7HjMrQzZj82-2Xn4G8b3Bol/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1SMMpcmcQYnHJYdel-3nxDZEMumTGcvln/view?usp=drivesdk,,,,,,,,,{2c009c5f-f6d1-4c2e-8270-833ac0bb79d6},Point
21,NERO,AMC-CT,Belters Campsite,Official A.T. Campsite,Yes,AMC-CT Belters Campsite,250510,CS557,Designated Campsite,8,8,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,None,Yes,1985,One group campsite,0.011754,AMC-CT Belters Campsite,IB14001000208620001460,1,100,N,Connecticut,LITCHFIELD,New England,Congressional District 5,Appalachian Mountain Club - Connecticut Chapter,Rte. 112,Hang Glider View,Rte. 112 to Hang Glider View,N,FEDERAL FEE - NPS APPA,41.92691439,-73.36352698,3,2.8,Uncorrected,Geo 7x,10/27/2015,11:16:41 AM,New,Campsite,File Not Specified,30,30,AT 2015 Inventory,1868,148.8,93,101.3,15.385433,-73.363527,41.926914,{aae2853a-2c53-46eb-8fe6-2f47b24f21c8},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1DEWPWyBGP_aAhnjYZxCiKSWwLt7PaxFo/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1KhfhKqbWcOWuj12-3K-5d7G1gHZfxc1Q/view?usp=drivesdk,,,,,,,,,{07e81bca-317a-4f5a-b662-be054dab6ce7},Point
22,NERO,MATC,Moxie Bald Lean-to Campsite,Official A.T. Campsite,Yes,MATC Moxie Bald Lean-to Campsite,250549,NA,Designated Campsite,2,2,0,None,0,None,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,None,Yes,1958,"MATC Maintained, hardened areas.",0.002938,MATC Moxie Bald Lean-to Campsite,IB14001000208620001499,1,100,N,Maine,SOMERSET,New England,Congressional District 2,Maine Appalachian Trail Club,Outlet Bald Mountain Pond,Baker Stream,Outlet Bald Mountain Pond to Baker Stream,N,FEDERAL FEE - NPS APPA,45.27068522,-69.74525659,3.8,2.1,Uncorrected,GeoXT 6000,6/2/2017,10:46:01 AM,New,Campsite,File Not Specified,32,32,AT 2015 Inventory,1951,342.673,31.1,20,11.129406,-69.745257,45.270685,{0d244a84-a148-49b3-9abb-017df402deb2},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,,,,,,,,,,,{6d40bfd0-e60f-46dc-87e5-948226db7273},Point
23,NERO,AMC,Ethan Pond Shelter Campsite,Official A.T. Campsite,Yes,AMC Ethan Pond Shelter Campsite,244710,CS670,Designated Campsite,6,0,0,None,6,Dimensional Lumber,0,0,2,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,None,Yes,1957,Designated Group Tent platforms,0.013774,AMC Ethan Pond Shelter Campsite,IB14001000208620001526,1,100,N,New Hampshire,GRAFTON,New England,Congressional District 2,Appalachian Mountain Club,Ethan Pond,Shoal Pond Tr.,Ethan Pond to Shoal Pond Tr.,N,FEDERAL FEE - USFS WHITE MTN NF,44.17750895,-71.42732483,2,1.1,Uncorrected,Geo 7x,10/7/2015,1:57:08 PM,New,Campsite,File Not Specified,30,30,AT 2015 Inventory,1865,853.695,35.9,22.9,6.097007,-71.427325,44.177509,{e0c2190b-c04e-4aca-8723-67f8d8106999},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1f04MMiPRqXS25DgPXrM5TLVgbiSS4r_N/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1MJJ-j2rmutPBzdOLYASN8C88mta8ATzn/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/11nAveQG5fdezmVA58DvdsXWxdkCUmqk2/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1UmC3xSOVerh49MouWb6hcHsBRhulb3ZT/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1Qb54-cadJqS9ZBNEwdNqhfrGBqq4gzZm/view?usp=drivesdk,,,,,,{23f99d08-561d-4cf5-879b-2801b8225f05},Point
24,NERO,AMC-CT,Brassie Brook Shelter Campsite,Official A.T. Campsite,Yes,AMC-CT Brassie Brook Shelter Campsite,101874,CS34,Designated Groupsite,10,10,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,None,Yes,1980,,0.014692,AMC-CT Brassie Brook Shelter Campsite,IB14001000208620000546,1,100,Y,Connecticut,LITCHFIELD,New England,Congressional District 5,Appalachian Mountain Club - Connecticut Chapter,Umt. Tr. Junction,Route 41,Umt. Tr. Junction to Route 41,N,FEDERAL FEE - NPS APPA,42.02788627,-73.45353,1.5,0.9,Uncorrected,Geo 7x,10/21/2015,11:42:47 AM,New,Campsite,File Not Specified,29,29,AT 2015 Inventory,1867,502.39,22.8,18.2,3.312365,-73.45353,42.027886,{87f009be-2073-47d1-a432-143961610743},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1-smaKQjxP1ts_kF8-gFoXc3WbD4a3uzO/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1npGcvuVJZzMYCV2icMsbHzkfknk2tBdk/view?usp=drivesdk,,,,,,,,,{c8bbe69c-dac5-4b80-8648-2f5d2dddf79d},Point
25,NERO,AMC-CT,Stewart Hollow Brook Shelter Campsite,Official A.T. Campsite,Yes,AMC-CT Stewart Hollow Brook Shelter Campsite,250520,CS492,Designated Campsite,12,12,0,None,0,None,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,None,Yes,1980,,0.017631,AMC-CT Stewart Hollow Brook Shelter Campsite,IB14001000208620001471,1,100,N,Connecticut,LITCHFIELD,New England,Congressional District 5,Appalachian Mountain Club - Connecticut Chapter,Swifts Bridge,St. Johns Ledges,Swifts Bridge to St. Johns Ledges,N,FEDERAL FEE - NPS APPA,41.77895999,-73.41831742,2.1,1.3,Uncorrected,Geo 7x,10/20/2015,1:55:34 PM,New,Campsite,File Not Specified,29,29,AT 2015 Inventory,1867,100.085,24.4,24.7,2.03857,-73.418317,41.77896,{42eca71c-a598-4aa6-b999-f95df513deaa},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1LGDovXkhqWZwsO7O5N2B5VGcyHrcSa6V/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1YPuhpI0oWjHl26GbHXSEeFgRJ9jAWs_-/view?usp=drivesdk,,,,,,,,,{c859b1ef-b081-4d05-b381-b93e1a7fca2b},Point
26,NERO,AMC-CT,Caesar Brook Campsite,Official A.T. Campsite,Yes,AMC-CT Caesar Brook Campsite,250511,CS569,Designated Campsite,8,8,0,None,0,None,0,0,0,0,0,0,0,0,0,3,2,7,1,0,0,0,0,0,0,0,None,Yes,1985,,0.011754,AMC-CT Caesar Brook Campsite,IB14001000208620001463,1,100,N,Connecticut,LITCHFIELD,New England,Congressional District 5,Appalachian Mountain Club - Connecticut Chapter,West Cornwall Rd,Pine Knob (South Junction),West Cornwall Rd to Pine Knob (South Junction),N,STATE FEE - STATE OF CONNECTICUT - DEP - HOUSATONIC SF,41.84793186,-73.3830076,1.9,1,Uncorrected,Geo 7x,10/27/2015,10:25:18 AM,New,Campsite,File Not Specified,42,42,AT 2015 Inventory,1868,218.797,23.1,15.6,3.2171,-73.383008,41.847932,{770a5ff1-bcee-42f9-8126-2dbc1b98e946},2015-2017 Trail Inventory using Trimble GPS Equipment,March 2023,Yes,MROBINSON,8/28/2019 5:25:36 PM,MROBINSON,8/28/2019 5:25:36 PM,https://drive.google.com/a/appalachiantrail.org/file/d/1GyF8g5NFKRHP9ZoUXGWh93OssRBAJMzV/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/14tjgly5JAu061MjGLxdZ7IL3905lmO0O/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1Nx-fOYYZYK6de-OdyuoeJk0tueXf0i8N/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1UiSSouXNcZNJztAtmEHdi-_EBR131hug/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1VDjXz3YbXA6By39u5DZZEzPbpxA4XvzA/view?usp=drivesdk,https://drive.google.com/a/appalachiantrail.org/file/d/1XAv2gY1E3AIeexwv5wzCI8ouT_tkv0Ma/view?usp=drivesdk,,,,,{b466584d-f44c-4c22-a273-33da17d3698f},Point
